,raw_data,right_data
0,【亲朋麒牌 】来就送68-668！扭ν   吽砥主  轧金?更多好玩等你来 e5.q00k.com/?2963483 请点此申请,【亲朋棋牌】来就送68-668!牛牛斗地主炸金更多好玩等你来e5.q00k.com2963483请点此申请
1,"告诉黄某某,速速回家,明天有外访工作人员去家里核实  豆 豆 qian芡 单情况,微信：htsz6666","告诉黄某某,速速回家,明天有外访工作人员去家里核实豆豆欠账单情况,微信:htsz6666"
2,"你好!天意如此,让你遇见,詀： 18535.c0 领18-188!","你好!天意如此,让你遇见,点:18535.c0领18188!"
3,Hi，塊③ 公艇 嘿科技外挂套琍每夭稳収人伯分之10-15笋損全额鲍琣枂叺过送隇筘筘 1514184742  3373115039。UAM,"Hi,快三飞艇黑科技外挂套利每天稳收入百分之10-15亏损全额包赔月入过万加QQ15141847423373115039.UAM"
4,【来电蹄示】你好，朋友，你绌5oo，我遰你铮3oo，没铮全佩尔 +小筘同浩：546612480,"【来电提示】你好,朋友,你出500,我带你挣300,没挣全赔你加微Q同号:546612480"
5,689277.com真不 39缘.Ll3沖值就餸3%.笔bi怭，自动到。nUv,"689277.com真送39元.Ll3冲值就送3%.笔必有,自动到.nUv"
6,亲，在干嘛呢？这里在发出哦！来000872.com丶册鬆36，实力岼台，信譽保证，超多齐牌游细等你来战！。Ac1,"亲,在干嘛呢?这里在发钱哦!来000872.com注册送36,实力平台,信誉保证,超多棋牌游戏等你来战!.Ac1"
7,【通知】愿为你守好你的蜊-寶，等你一人归来→  o91.us/y50   已为你备好188！,"【通知】愿为你守好你的礼包,等你一人归来o91.usy50已为你备好188!"
8,"门卫仦赵  ,  你  看  一  下   wsx.cctv5uuhy.c0m/2.apk","门卫小赵,你看一下wsx.cctv5uuhy.com2.apk"
9,哇，【幛丹皓】 有志者，事竟成。风帆最高令168→  8.ff12.co 。t44,"哇,【账单号】有志者,事竟成.风帆最高领1688.ff12.co.t44"
10,HI，灵188可，諟，无，税，在 https://lh1202.com 开号，不 限 攸 戏 啥都渴鉯唰！。6gx,"HI,领188可提,无水,在https:lh1202.com开号,不限游戏啥都可以刷!.6gx"
11,~您好！yb娅下 华 体会 htbet753.com 的专员，联系获 取100%籿鎹活动，详情添加Q576141918,"您好!亚博旗下华体会htbet753.com的专员,联系获取100%存送活动,详情添加Q576141918"
12,"哇，謝叩嚱内部纟 88，一税缇只有一次，页yb5588掂vip 不硍 游xi ,在{鸭 葧} APP，红笣.卷专.区。dja","哇,谢礼内部给88,一水提只有一次,点yb5588.vip不限游戏,在亚博APP,红包券专区.dja"
13,"上次 二十三 对了吧  现在加嶶 835062942 ,就有今..晚 I..号,","上次二十三对了吧现在加微835062942,就有今晚1号,"
14,今 ィ介 菿：您有20000额 镀 贾葳: yu682622 ~无弑 潶白沪，保 坊 窽,"今借到:你有20000额度加微:yu682622无视黑白户,保放款"
15,【预警】哞囀乾坤 亓门必丶 睐：dj3.us/goA 最搞888包,【预警】牛转乾坤开门必红来:dj3.usgoA最高888礼
16,"黑科劑外挂,日挣30-500,适合宝妈,百领.时间自由不影响正常生活.諮詢+规：569425161   905823282","黑科技外挂,日挣30-500,适合宝妈,百领.时间自由不影响正常生活.咨询加Q:569425161905823282"
17,【大三元】特邀 您掺懙1咟~菜1摆，2咟鬆2粨，3洦誦3  伯，更多+惠：1321878337   冈 dsy299.com,"【大三元】特邀您参与1百送1百,2百送2百,3百送3百,更多加Q:1321878337网dsy299.com"
18,"客户,过来做事,一单四十,一天五百以,手机就可,+力:3007022942.0f6","客户,过来做事,一单四十,一天五百以,手机就可,加Q:3007022942.0f6"
19,"кoк集団城徼您叁与吙勤首皴包錇,复纯鬆伯粉之2+流氵才鑫更多佸働諮询请窝扣扣：3376392165","KOK集团城邀您参与活动首存包赔,复纯送百分之2+流水彩金更多活动咨询请加QQ:3376392165"
20,っ拜新年-楹财神っcq9跳高高（爆2145 ） 職100噌108，戳wy3611点comQ1209047955,"拜新年赢财神cq9跳高高(爆2145)充100赠108,戳wy3611.comQ1209047955"
